,tok_src,tok_trg,tok_pred,smi_src,smi_trg,smi_pred,Tc
0,COC=O)CCC=O)ccccOCCCCCO6)))))))cc6O,C=COCCC6.COC=O)CCC=O)ccccO)cc6O,COC=O)CCC=O)ccccOCCCCCO6)))))))cc6OC,COC(=O)CCC(=O)c2ccc(OC1CCCCO1)cc2O,C1=COCCC1.COC(=O)CCC(=O)c2ccc(O)cc2O,COC(=O)CCC(=O)c2ccc(OC1CCCCO1)cc2OC,0.4318181818181818
1,COC=O)ccccc-cnccccnc6[nH]9)))))))))c6,COC=O)cccccC=O)O))c6.Nccccnc6N,COC=O)cccccC=O)O))c6.Nccccnc6N,COC(=O)c3cccc(-c2nc1cccnc1[nH]2)c3,COC(=O)c1cccc(C(=O)O)c1.Nc2cccnc2N,COC(=O)c1cccc(C(=O)O)c1.Nc2cccnc2N,1.0
2,CONC)C=O)CCCCNC=O)OCC)C)C)))))CC6,CCC)C)OC=O)NCCCCC=O)O))CC6.CNOC,CCC)C)OC=O)NCCCCC=O)O)))CC6.CNOC,CON(C)C(=O)C1CCC(NC(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)NC1CCC(C(=O)O)CC1.CNOC,CC(C)(C)OC(=O)N1CCC(CC(=O)O)CC1.CNOC,0.4794520547945205
3,O=[N+][O-])ccccCl)nc6NccccO)cc6,NccccO)cc6.O=[N+][O-])ccccCl)nc6Cl,NccccO)cc6.O=[N+][O-])ccccCl)nc6Cl,O=[N+]([O-])c1ccc(Cl)nc1Nc2ccc(O)cc2,Nc1ccc(O)cc1.O=[N+]([O-])c2ccc(Cl)nc2Cl,Nc1ccc(O)cc1.O=[N+]([O-])c2ccc(Cl)nc2Cl,1.0
4,NCC=CC[C@@H]ccccCl)cc6Cl)))))))[C@H][N+]=O)[O-]))C6,[N-]=[N+]=NCC=CC[C@@H]ccccCl)cc6Cl)))))))[C@H][N+]=O)[O-]))C6,CCC)C)OC=O)NCC=CC[C@@H]ccccCl)cc6Cl)))))))[C@H][N+]=O)[O-]))C6,NCC2=CC[C@@H](c1ccc(Cl)cc1Cl)[C@H]([N+](=O)[O-])C2,[N-]=[N+]=NCC2=CC[C@@H](c1ccc(Cl)cc1Cl)[C@H]([N+](=O)[O-])C2,CC(C)(C)OC(=O)NCC2=CC[C@@H](c1ccc(Cl)cc1Cl)[C@H]([N+](=O)[O-])C2,0.5802469135802469
5,CCcoc-ccccCF)F)F))cc6))))))nc5COC[C@@H]CCC[C@H]COCC)C)C=O)O)))))C6,CCcoc-ccccCF)F)F))cc6))))))nc5COC[C@@H]CCC[C@H]COCC)C)C=O)OCC)C)C)))))))C6,CCOC=O)CC)C)OC[C@H]CCC[C@@H]COCcnc-ccccCF)F)F))cc6))))))oc5CC)))))))))C6,CCc2oc(-c1ccc(C(F)(F)F)cc1)nc2COC[C@@H]3CCC[C@H](COC(C)(C)C(=O)O)C3,CCc2oc(-c1ccc(C(F)(F)F)cc1)nc2COC[C@@H]3CCC[C@H](COC(C)(C)C(=O)OC(C)(C)C)C3,CCOC(=O)C(C)(C)OC[C@H]C3CC[C@@H]C(OCc2nc(-c1ccc(C(F)(F)F)cc1)oc2CC)C3,0.5692307692307692
6,CcnocC)c5NC=O)NccccncN[C@@H]CCcccccc69))))))))))ccc6c%10,CcnocC)c5N=C=O.NccccncN[C@@H]CCcccccc69))))))))))ccc6c%10,CcnocC)c5NC=O)NccccncCl)ccc6c%10.N[C@@H]CCcccccc69,Cc1noc(C)c1NC(=O)Nc5ccc4nc(N[C@@H]3CCc2ccccc23)ccc4c5,Cc1noc(C)c1N=C=O.Nc5ccc4nc(N[C@@H]3CCc2ccccc23)ccc4c5,Cc1noc(C)c1NC(=O)Nc3ccc2nc(Cl)ccc2c3.N[C@@H]5CCc4ccccc45,0.5384615384615384
7,CccncNCCNC=O)ccccNCCCS5=O)=O))))))nc6C))))))))CC6))))))cC)c6,COC=O)ccccNCCCS5=O)=O))))))nc6C.CccncNCCNCC6))))))cC)c6,CccncNCCNC=O)ccccBr)nc6C))))))))CC6))))))cC)c6.O=S=O)CCCN5,Cc4cnc(N3CCN(C(=O)c2ccc(N1CCCS1(=O)=O)nc2C)CC3)c(C)c4,COC(=O)c2ccc(N1CCCS1(=O)=O)nc2C.Cc4cnc(N3CCNCC3)c(C)c4,Cc3cnc(N2CCN(C(=O)c1ccc(Br)nc1C)CC2)c(C)c3.O=S4(=O)CCCN4,0.5625
8,C#CCCCCCC)C)cccOC))ccOC))c6,COcccOC))ccCC)C)CCCCC#C[Si]C)C)C)))))))))c6,COcccOC))ccCC)C)CCCCC#C[Si]C)C)C))))))))c6,C#CCCCCC(C)(C)c1cc(OC)cc(OC)c1,COc1cc(OC)cc(C(C)(C)CCCCC#C[Si](C)(C)C)c1,COcc1c(OC)ccC(C)(C)(CCCCC#C[Si](C)(C)C)c1,0.0
9,CCOC=O)ccnC)ccC)cC=O))sc5c9=O,CCOC=O)cc[nH]ccC)cC=O))sc5c9=O.CI,CCOC=O)ccnC)ccC)csc5c9=O.CNC)C=O,CCOC(=O)c2cn(C)c1c(C)c(C=O)sc1c2=O,CCOC(=O)c2c[nH]c1c(C)c(C=O)sc1c2=O.CI,CCOC(=O)c2cn(C)c1c(C)csc1c2=O.CN(C)C=O,0.4155844155844156
10,CCC)ncnnc5-cnccs5)CCOcccCNCCO)))))ccc6-%11,CCC)ncnnc5-cnccs5)CCOcccC=O))ccc6-%11.NCCO,CCC)ncnnc5-cnccs5)CCOcccCCl))ccc6-%11.NCCO,CC(C)n1cnnc1-c2nc4c(s2)CCOc3cc(CNCCO)ccc3-4,CC(C)n1cnnc1-c2nc4c(s2)CCOc3cc(C=O)ccc3-4.NCCO,CC(C)n1cnnc1-c2nc4c(s2)CCOc3cc(CCl)ccc3-4.NCCO,0.7931034482758621
11,CCOC=O)CncC)ccc5CCC5,CC=O)CCCCCC5=O.CCOC=O)CN,CCOC=O)CBr.Ccccc[nH]5)CCC5,CCOC(=O)Cn1c(C)cc2c1CCC2,CC(=O)CC1CCCC1=O.CCOC(=O)CN,CCOC(=O)CBr.Cc1cc2c([nH]1)CCC2,0.2898550724637681
